Scheme_Code,Scheme_Name,AMC,Category,NAV,Estimated_AUM_Cr,Date,Rank,Metric
120249,LIC MF Liquid Fund-Direct Plan-Growth,LIC,Debt,4884.5269,1776.904294874878,2025-11-05,21,NAV
101847,Tata Money Market Fund-Regular Plan - Growth Option,Tata,Debt,4832.2739,1904.3852282602575,2025-11-04,22,NAV
101185,LIC MF Liquid Fund-Regular Plan-Growth,LIC,Debt,4813.8211,1796.3742331310489,2025-11-05,23,NAV
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India,Equity,4682.9003,2478.9958120357846,2025-11-04,24,NAV
120746,UTI Ultra Short Duration Fund - Direct Plan - Growth Option,UTI,Debt,4651.277,1444.8844792086588,2025-11-04,25,NAV
119746,Kotak Money Market Fund - (Growth) - Direct,Kotak,Debt,4639.8333,1374.184480700765,2025-11-04,26,NAV
101893,Kotak Money Market Fund - (Growth),Kotak,Debt,4595.261,1470.70543071734,2025-11-04,27,NAV
143494,Nippon India Ultra Short Duration Fund- Direct Plan- Growth Option,Nippon India,Debt,4548.1374,1730.5801296586606,2025-11-04,28,NAV
101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,Baroda BNP Paribas,Debt,4507.1961,1874.1238800561441,2025-11-05,29,NAV
118566,Franklin India Short Term Income Plan -  Retail Plan - Direct - Quarterly - IDCW,Franklin Templeton,Debt,4460.0426,1534.0092115769853,2025-05-02,30,NAV
120304,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,UTI,Debt,4410.4836,1919.8193109031238,2025-11-05,31,NAV
102012,UTI-  Liquid Cash Plan - Regular Plan - Growth Option,UTI,Debt,4369.6215,1800.2566458432498,2025-11-05,32,NAV
101238,Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW,Franklin Templeton,Debt,4366.3354,1352.3838332312466,2025-05-02,33,NAV
102532,UTI Ultra Short Duration Fund - Regular Plan - Growth Option,UTI,Debt,4326.2132,1749.2226420075517,2025-11-04,34,NAV
118719,Nippon India Money Market Fund - Direct Plan Growth Plan - Growth Option,Nippon India,Debt,4305.5138,1348.2955642255067,2025-11-04,35,NAV
119833,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,SBI,Debt,4291.2323,1627.8738311129525,2025-11-05,36,NAV
102539,UTI Low Duration Fund - Discontinued Bonus Option,UTI,Debt,4283.8686,1558.0998165148771,2025-11-04,37,NAV
118567,Franklin India Short Term Income Plan -  Retail Plan - Direct - Monthly - IDCW,Franklin Templeton,Debt,4281.414,1380.0521205714167,2025-05-02,38,NAV
100377,Nippon India Growth Fund-Growth Plan-Growth Option,Nippon India,Equity,4264.382,3040.843335845588,2025-11-04,39,NAV
103048,Nippon India Money Market Fund-Growth Plan-Growth Option,Nippon India,Debt,4248.2106,1841.361639615041,2025-11-04,40,NAV
119861,Tata Liquid Fund- Direct Plan-Growth Option,Tata,Debt,4247.1735,1389.1354391598666,2025-11-05,41,NAV
101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,SBI,Debt,4234.7509,1428.6161248939632,2025-11-05,42,NAV
119800,SBI Liquid Fund - DIRECT PLAN -Growth,SBI,Debt,4206.2535,1852.6895042736953,2025-11-05,43,NAV
105274,SBI Liquid Fund - Institutional - Growth,SBI,Debt,4201.4519,1881.279322601081,2025-11-05,44,NAV
101236,Franklin India Short Term Income Plan -  Retail Plan - Monthly - IDCW,Franklin Templeton,Debt,4197.152,1559.7015842878534,2025-05-02,45,NAV
102672,Tata Liquid Fund -Regular Plan - Growth Option,Tata,Debt,4194.9342,1887.286743842133,2025-11-05,46,NAV
105280,SBI Liquid Fund - REGULAR PLAN -Growth,SBI,Debt,4162.0894,1612.843533553799,2025-11-05,47,NAV
119863,Tata Treasury Advantage Fund - Direct Plan - Growth Option,Tata,Debt,4137.6191,1641.866201441624,2025-11-04,48,NAV
118317,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco,Debt,4129.2056,1315.1784363774862,2025-11-04,49,NAV
143493,Nippon India Ultra Short Duration Fund- Growth Option,Nippon India,Debt,4113.9629,1543.1323753471918,2025-11-04,50,NAV
