Scheme_Code,ISIN_Div,ISIN_Growth,Scheme_Name,NAV,Date,AMC,Category,Estimated_AUM_Cr
143262,INF879O01076,INF879O01084,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,1004.4124,2025-11-05,PPFAS,Debt,1405.429031948253
143269,INF879O01068,-,Parag Parikh Liquid Fund- Direct Plan- Growth,1488.1166,2025-11-05,PPFAS,Debt,1308.9454649027446
143263,-,INF879O01118,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,1000.5405,2025-11-05,PPFAS,Debt,1488.2114116884893
112646,INF959L01GP0,INF959L01GQ8,Navi Liquid Fund - Regular Plan Weekly IDCW,10.0077,2025-11-05,Navi,Debt,382.1883663503171
112647,INF959L01GN5,INF959L01GO3,Navi Liquid Fund - Regular Plan Monthly IDCW,10.0202,2025-11-05,Navi,Debt,363.41584508382334
112645,-,INF959L01GM7,Navi Liquid Fund - Regular Plan Daily IDCW,10.0129,2025-11-05,Navi,Debt,452.5980014643087
119162,INF959L01GI5,INF959L01GJ3,Navi Liquid Fund - Direct Plan Weekly IDCW - Payout,10.0073,2025-11-05,Navi,Debt,377.0805322709743
119161,INF959L01GG9,INF959L01GH7,Navi Liquid Fund - Direct Plan Monthly IDCW - Payout,10.0204,2025-11-05,Navi,Debt,364.94952154998094
119163,-,INF959L01GK1,Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment,10.0129,2025-11-05,Navi,Debt,406.83137330531974
146224,-,INF247L01874,Motilal Oswal Liquid Fund Regular - IDCW Weekly Reinvestment,10.0208,2025-11-05,Motilal Oswal,Debt,342.54787599596204
144947,INF109KC1KT9,-,ICICI Prudential BSE Liquid Rate ETF - IDCW,1000.0,2025-11-05,ICICI Prudential,Debt,1793.4060676825854
153378,INF109K1A021,-,ICICI Prudential BSE Liquid Rate ETF - Growth,1035.4501,2025-11-05,ICICI Prudential,Debt,1327.7124119550533
146222,INF247L01866,INF247L01858,Motilal Oswal Liquid Fund Regular - IDCW Quarterly Payout/Reinvestment,10.0639,2025-11-05,Motilal Oswal,Debt,477.9019098560827
146220,INF247L01841,INF247L01833,Motilal Oswal Liquid Fund Regular - IDCW Monthly Payout/Reinvestment,10.0378,2025-11-05,Motilal Oswal,Debt,443.55916308746515
146230,-,INF247L01825,Motilal Oswal Liquid Fund Regular - IDCW Fortnightly Reinvestment,10.0224,2025-11-05,Motilal Oswal,Debt,351.7945090454676
146227,-,INF247L01817,Motilal Oswal Liquid Fund Regular - IDCW Daily Reinvestment,10.0055,2025-11-05,Motilal Oswal,Debt,320.88353873977644
146229,-,INF247L01809,Motilal Oswal Liquid Fund Direct - IDCW Weekly Reinvestment,10.0138,2025-11-05,Motilal Oswal,Debt,450.47382855277345
146228,-,INF247L01742,Motilal Oswal Liquid Fund Direct - IDCW Reinvestment,10.0077,2025-11-05,Motilal Oswal,Debt,433.09717501561875
146223,INF247L01775,INF247L01767,Motilal Oswal Liquid Fund Direct - IDCW Monthly Payout/Reinvestment,10.0381,2025-11-05,Motilal Oswal,Debt,436.641146886558
146226,-,INF247L01759,Motilal Oswal Liquid Fund Direct - IDCW Fortnightly Reinvestment,10.0231,2025-11-05,Motilal Oswal,Debt,443.4032554697513
146218,INF247L01791,INF247L01783,Motilal Oswal Liquid Fund Direct - IDCW  Quarterly Payout/Reinvestment,10.0658,2025-11-05,Motilal Oswal,Debt,331.8471442774545
147444,-,-,Motilal Oswal Liquid Fund - Unclaimed Redemption - Upto 3 years,13.5599,2025-11-05,Motilal Oswal,Debt,449.3623877402298
147443,-,-,Motilal Oswal Liquid Fund - Unclaimed Redemption - Greater than 3 years,10.0,2025-11-05,Motilal Oswal,Debt,338.53904952402075
147441,-,-,Motilal Oswal Liquid Fund - Unclaimed Dividend- Upto 3 years,13.8352,2025-11-05,Motilal Oswal,Debt,556.5871048412963
147442,-,-,Motilal Oswal Liquid Fund - Unclaimed Dividend - Greater than 3 years,10.0,2025-11-05,Motilal Oswal,Debt,419.7277002924093
145946,INF247L01726,-,Motilal Oswal Liquid Fund - Regular Growth,14.0581,2025-11-05,Motilal Oswal,Debt,460.4267676920141
145834,INF247L01734,-,Motilal Oswal Liquid Fund - Direct Growth,14.2067,2025-11-05,Motilal Oswal,Debt,411.9273475367834
111644,INF769K01PC4,INF769K01812,Mirae Asset Liquid Fund - Regular Plan - Weekly IDCW,1153.8585,2025-11-05,Mirae Asset,Debt,1479.028685898024
119164,INF959L01GF1,-,Navi Liquid Fund-Direct Plan-Growth Option,29.1925,2025-11-05,Navi,Debt,953.7601001600536
112636,INF959L01GL9,-,Navi Liquid Fund-Regular Plan-Growth Option,28.9298,2025-11-05,Navi,Debt,1109.57352515092
140437,INF959L01CO2,-,Navi Liquid Fund-Unclaimed Redemption and Dividend Plan greater than 3 years,10.0,2025-11-05,Navi,Debt,422.0091954168341
100838,-,INF204K01UK5,NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION,1035.2117,2025-11-05,Nippon India,Debt,1847.816155248849
138289,INF223J01BU6,-,PGIM India Liquid Fund - Weekly Dividend,100.5891,2025-11-05,PGIM India,Debt,1582.2175521036477
138287,INF223J01BL5,-,PGIM India Liquid Fund - Monthly Dividend,117.1286,2025-11-05,PGIM India,Debt,1356.5403174005132
138288,INF223J01BP6,-,PGIM India Liquid Fund - Growth,346.754,2025-11-05,PGIM India,Debt,1736.4766638227165
138301,INF223J01NV9,INF223J01NW7,PGIM India Liquid Fund - Direct Plan - Weekly Dividend,100.5905,2025-11-05,PGIM India,Debt,1766.9024311148141
138298,INF223J01NT3,INF223J01NU1,PGIM India Liquid Fund - Direct Plan - Monthly Dividend,116.6518,2025-11-05,PGIM India,Debt,1639.2174064444778
138299,INF223J01NS5,-,PGIM India Liquid Fund - Direct Plan - Growth,351.0389,2025-11-05,PGIM India,Debt,1773.418995170919
138297,INF223J01NR7,-,PGIM India Liquid Fund - Direct Plan - Daily Dividend,125.1089,2025-11-05,PGIM India,Debt,1596.0291816732101
138285,-,INF223J01BO9,PGIM India Liquid Fund - Daily Dividend,100.304,2025-11-05,PGIM India,Debt,1614.5490108044762
151358,INF174KA1LV5,-,Kotak Nifty 1D Rate Liquid ETF,1076.4171,2025-11-05,Kotak,Index,776.8131258747359
100851,INF204K01UN9,-,Nippon India Liquid Fund -Growth Plan,6499.5597,2025-11-05,Nippon India,Debt,1296.268241116221
100853,INF204KC1FM8,INF204K01US8,NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION,1532.0293,2025-11-05,Nippon India,Debt,1349.050513275715
100844,INF204K01UV2,INF204K01UW0,NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION,1221.4844,2025-11-05,Nippon India,Debt,1300.1146788395101
139386,INF959L01CN4,-,Navi Liquid Fund-Unclaimed Redemption and Dividend Plan less than 3 years,29.0876,2025-11-05,Navi,Debt,1077.5354559223863
100843,INF204K01UT6,INF204K01UU4,NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION,1328.119,2025-11-05,Nippon India,Debt,1481.1878278888491
100842,-,INF204K01UJ7,NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION,1524.28,2025-11-05,Nippon India,Debt,1605.4852423454097
100837,INF204K01UL3,-,Nippon India Liquid Fund - Retail Option - Growth Plan,5743.0565,2025-11-05,Nippon India,Debt,1860.8425433126995
112340,INF204K01UQ2,INF204K01UR0,NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION,1011.1128,2025-11-05,Nippon India,Debt,1439.54702665528
100855,INF204K01UO7,INF204K01UP4,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,1586.0498,2025-11-05,Nippon India,Debt,1542.645070742803
118701,INF204K01ZH0,-,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,6585.7416,2025-11-05,Nippon India,Debt,1763.552728667551
118700,INF204KC1FN6,INF204K01ZM0,NIPPON INDIA LIQUID FUND - DIRECT Plan - WEEKLY IDCW OPTION,1532.0661,2025-11-05,Nippon India,Debt,1426.4308259146385
118698,INF204K01ZK4,INF204K01ZL2,NIPPON INDIA LIQUID FUND - DIRECT Plan - QUARTERLY IDCW OPTION,1011.3488,2025-11-05,Nippon India,Debt,1329.2671422904275
118696,INF204K01ZI8,INF204K01ZJ6,NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION,1589.4069,2025-11-05,Nippon India,Debt,1465.4409298648116
118695,-,INF204K01ZG2,NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION,1528.74,2025-11-05,Nippon India,Debt,1383.1816238425629
100852,-,INF204K01UM1,NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION,1528.74,2025-11-05,Nippon India,Debt,1875.006497499247
101714,-,INF277K011D4,Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option,1001.5157,2025-11-05,Tata,Debt,1797.197042921227
153700,INF579M01BD1,-,360 ONE Overnight Fund - Regular Plan - Growth,1017.5663,2025-11-05,360 ONE,Debt,1685.378404166671
111645,INF769K01838,INF769K01820,Mirae Asset Liquid Fund - Regular Plan - Monthly IDCW,1154.4784,2025-11-05,Mirae Asset,Debt,1837.7347777201394
153888,INF2F0001149,-,THE WEALTH COMPANY LIQUID FUND REGULAR GROWTH,1004.1203,2025-11-05,The Wealth Company,Debt,1794.350129215433
147570,INF754K01JV9,-,Edelweiss Overnight Fund - Direct Plan - Growth,1365.0852,2025-11-05,Edelweiss,Debt,1399.404837687063
153886,-,INF2F0001131,THE WEALTH COMPANY LIQUID FUND REGULAR DAILY IDCW,1002.0,2025-11-05,The Wealth Company,Debt,1851.237759033586
147557,-,INF754K01JW7,Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option,1000.1701,2025-11-05,Edelweiss,Debt,1625.1790348260165
147551,INF754K01KD5,INF754K01KC7,Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option,1365.5478,2025-11-05,Edelweiss,Debt,1796.761699305
149310,-,-,Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund),12.5889,2025-11-05,DSP,Debt,512.283885351462
149311,-,-,Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund),10.0,2025-11-05,DSP,Debt,370.88055599549824
149312,-,-,Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund),12.5889,2025-11-05,DSP,Debt,373.242928570285
149313,-,-,Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund),10.0,2025-11-05,DSP,Debt,356.46962600671066
146063,INF740KA1OV4,INF740KA1OW2,DSP Overnight Fund - Regular Plan - IDCW - Weekly,1001.0922,2025-11-05,DSP,Debt,1553.348984720804
146066,-,INF740KA1OU6,DSP Overnight Fund - Regular Plan - IDCW - Daily,1000.0099,2025-11-05,DSP,Debt,1803.5294501903954
146061,INF740KA1MB0,-,DSP Overnight Fund - Regular Plan - Growth,1405.5255,2025-11-05,DSP,Debt,1830.8675732840597
153889,INF2F0001123,INF2F0001115,THE WEALTH COMPANY LIQUID FUND DIRECT WEEKLY,1002.3221,2025-11-05,The Wealth Company,Debt,1284.4493635399622
146065,-,INF740KA1OR2,DSP Overnight Fund - Direct Plan - IDCW - Daily,1000.0099,2025-11-05,DSP,Debt,1606.878273649642
146062,INF740KA1MC8,-,DSP Overnight Fund - Direct Plan - Growth,1413.2525,2025-11-05,DSP,Debt,1547.1430420152185
147534,INF760K01JO1,-,CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION,1361.1282,2025-11-05,Canara Robeco,Debt,1422.1489987012674
147533,-,INF760K01JP8,CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),1001.0,2025-11-05,Canara Robeco,Debt,1356.713835093557
147531,INF760K01JM5,-,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1362.5129,2025-11-05,Canara Robeco,Debt,1496.0737096983219
147532,-,INF760K01JN3,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),1001.0012,2025-11-05,Canara Robeco,Debt,1883.462210504012
147198,-,INF955L01HU6,Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW,1000.7311,2025-11-05,Baroda BNP Paribas,Debt,1486.8498764932833
147194,-,INF955L01HT8,Baroda BNP Paribas Overnight Fund - Regular Plan - Daily IDCW,1000.0018,2025-11-05,Baroda BNP Paribas,Debt,1612.0259979157543
149989,-,-,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Up to 3 years,1243.3517,2025-11-05,Baroda BNP Paribas,Debt,1729.932133692914
153884,INF2F0001107,INF2F0001099,THE WEALTH COMPANY LIQUID FUND DIRECT MONTHLY IDCW,1003.5302,2025-11-05,The Wealth Company,Debt,1512.7229455227482
149991,-,-,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Up to 3 years,1243.3808,2025-11-05,Baroda BNP Paribas,Debt,1901.9405329414149
149988,-,-,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Greater than 3 years,1000.0,2025-11-05,Baroda BNP Paribas,Debt,1895.9662687629511
147195,-,INF955L01HX0,Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW,1000.2515,2025-11-05,Baroda BNP Paribas,Debt,1441.1406693282331
147554,INF754K01KB9,INF754K01KA1,Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option,1059.2184,2025-11-05,Edelweiss,Debt,1598.2390437711267
147556,INF754K01KM6,INF754K01KL8,Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option,1360.3585,2025-11-05,Edelweiss,Debt,1472.5621182827326
153725,INF204KC1FU1,-,Nippon India Nifty 1D Rate Liquid ETF-Growth,1014.7506,2025-11-05,Nippon India,Index,731.1489582007897
147552,-,INF754K01KF0,Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option,1008.3506,2025-11-05,Edelweiss,Debt,1303.607646306901
147457,INF666M01GX3,INF666M01GY1,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.2277,2025-11-05,Groww,Debt,1670.121173747134
147455,-,INF666M01GU9,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.0385,2025-11-05,Groww,Debt,1601.7145748664714
147451,INF666M01GN4,INF666M01GO2,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1002.5528,2025-11-05,Groww,Debt,1312.9464007999932
147453,INF666M01GR5,INF666M01GS3,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1001.7764,2025-11-05,Groww,Debt,1458.3337371114312
147450,INF666M01GL8,-,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option,1360.0328,2025-11-05,Groww,Debt,1861.2901670186584
147452,INF666M01GP9,INF666M01GQ7,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),1216.3281,2025-11-05,Groww,Debt,1433.3196100268624
147458,-,INF666M01GM6,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),1001.2811,2025-11-05,Groww,Debt,1372.7327181383828
149446,-,-,Franklin India Overnight Fund- Unclaimed Redemption Plan,12.4882,2025-11-05,Franklin Templeton,Debt,436.8319516768001
149444,-,-,Franklin India Overnight Fund- Unclaimed Redemption Investor EducationPlan,10.0,2025-11-05,Franklin Templeton,Debt,477.7040726576961
149443,-,-,Franklin India Overnight Fund- Unclaimed IDCW Plan,12.4882,2025-11-05,Franklin Templeton,Debt,393.42035151228487
149445,-,-,Franklin India Overnight Fund- Unclaimed IDCW Investor Education Plan,10.0,2025-11-05,Franklin Templeton,Debt,427.5416875849405
147214,INF090I01SS9,-,Franklin India Overnight Fund- Growth - Direct,1375.9457,2025-11-05,Franklin Templeton,Debt,1767.4365538103793
147213,INF090I01SO8,-,Franklin India Overnight fund- Growth,1371.4458,2025-11-05,Franklin Templeton,Debt,1432.0880281551358
147216,INF090I01SN0,INF090I01SP5,Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW,1000.4383,2025-11-05,Franklin Templeton,Debt,1746.05846311159
147211,INF090I01SR1,INF090I01SQ3,Franklin India Overnight Fund - Direct Weekly Dividend Plan - Weekly - IDCW,1000.4358,2025-11-05,Franklin Templeton,Debt,1515.381204940322
147212,-,INF090I01ST7,Franklin India Overnight Fund - Direct Daily Dividend Plan - Daily - IDCW,1000.0008,2025-11-05,Franklin Templeton,Debt,1684.6757315798907
147215,-,INF090I01SM2,Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW,1000.0001,2025-11-05,Franklin Templeton,Debt,1685.4590148869725
149478,-,-,Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years,1248.9776,2025-11-05,Edelweiss,Debt,1622.8957978078456
149479,-,-,Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years,1000.0,2025-11-05,Edelweiss,Debt,1337.7854528348214
149477,-,-,Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years,1248.9792,2025-11-05,Edelweiss,Debt,1814.5935971771123
149476,-,-,Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years,1000.0,2025-11-05,Edelweiss,Debt,1485.299241581911
147553,-,INF754K01KG8,Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option,1016.6693,2025-11-05,Edelweiss,Debt,1399.371846655907
147555,INF754K01KK0,INF754K01KJ2,Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option,1006.022,2025-11-05,Edelweiss,Debt,1306.096090595049
147569,INF754K01KE3,-,Edelweiss Overnight Fund - Regular Plan - Growth,1360.3525,2025-11-05,Edelweiss,Debt,1658.1714836404747
147549,INF754K01KI4,INF754K01KH6,Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option,1096.4061,2025-11-05,Edelweiss,Debt,1713.6411915790607
147196,INF955L01HV4,-,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1385.8037,2025-11-05,Baroda BNP Paribas,Debt,1290.616210513828
147197,-,INF955L01HW2,Baroda BNP Paribas Overnight Fund - Direct Plan - Daily IDCW,1000.0028,2025-11-05,Baroda BNP Paribas,Debt,1607.73955731154
149413,-,-,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years,1259.9165,2025-11-05,Bank of India,Debt,1424.9572961266804
149415,-,-,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years,1000.0,2025-11-05,Bank of India,Debt,1692.9105858620478
151849,INF0QA701177,-,Bajaj Finserv Overnight Fund - Direct Plan - Growth,1157.2633,2025-11-05,Bajaj Finserv,Debt,1391.5945145631947
