Scheme_Code,Scheme_Name,AMC,Category,NAV,Date,Rank
119746,Kotak Money Market Fund - (Growth) - Direct,Kotak Mahindra Mutual Fund,Other,4639.8333,2025-11-04,38
101893,Kotak Money Market Fund - (Growth),Kotak Mahindra Mutual Fund,Other,4595.261,2025-11-04,39
143494,Nippon India Ultra Short Duration Fund- Direct Plan- Growth Option,Nippon India Mutual Fund,Other,4548.1374,2025-11-04,40
101408,Baroda BNP Paribas LIQUID FUND- Defunct Plan -Growth Option,Baroda BNP Paribas Mutual Fund,Liquid,4507.1961,2025-11-05,41
118566,Franklin India Short Term Income Plan -  Retail Plan - Direct - Quarterly - IDCW,Franklin Templeton Mutual Fund,Debt,4460.0426,2025-05-02,42
120304,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,UTI Mutual Fund,Liquid,4410.4836,2025-11-05,43
102012,UTI-  Liquid Cash Plan - Regular Plan - Growth Option,UTI Mutual Fund,Liquid,4369.6215,2025-11-05,44
101238,Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW,Franklin Templeton Mutual Fund,Debt,4366.3354,2025-05-02,45
102532,UTI Ultra Short Duration Fund - Regular Plan - Growth Option,UTI Mutual Fund,Other,4326.2132,2025-11-04,46
118719,Nippon India Money Market Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Other,4305.5138,2025-11-04,47
119833,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Other,4290.6225,2025-11-04,48
102539,UTI Low Duration Fund - Discontinued Bonus Option,UTI Mutual Fund,Other,4283.8686,2025-11-04,49
118567,Franklin India Short Term Income Plan -  Retail Plan - Direct - Monthly - IDCW,Franklin Templeton Mutual Fund,Debt,4281.414,2025-05-02,50
