AMC,Category,Scheme_Count,Avg_NAV,Total_NAV
Bank of India Mutual Fund,Hybrid,15,22.5569,338.3535
Bank of India Mutual Fund,Liquid,10,1468.85468,14688.5468
Bank of India Mutual Fund,Other,100,299.23255,29923.255
Baroda BNP Paribas Mutual Fund,Debt,29,15.920941379310346,461.70730000000003
Baroda BNP Paribas Mutual Fund,Equity,4,15.878449999999999,63.513799999999996
Baroda BNP Paribas Mutual Fund,Gilt,4,37.4942,149.9768
Baroda BNP Paribas Mutual Fund,Hybrid,14,23.80185,333.2259
Baroda BNP Paribas Mutual Fund,Index,20,18.96777,379.35540000000003
Baroda BNP Paribas Mutual Fund,Liquid,15,1721.35914,25820.3871
Baroda BNP Paribas Mutual Fund,Other,169,183.10322781065088,30944.445499999998
Canara Robeco Mutual Fund,Debt,16,22.38929375,358.2287
Canara Robeco Mutual Fund,Equity,4,255.0675,1020.27
Canara Robeco Mutual Fund,Gilt,4,47.138425,188.5537
Canara Robeco Mutual Fund,Hybrid,10,31.30674,313.0674
Canara Robeco Mutual Fund,Liquid,10,1651.3412700000001,16513.4127
Canara Robeco Mutual Fund,Other,86,324.2580744186047,27886.1944
Capitalmind Mutual Fund,Other,2,10.142900000000001,20.285800000000002
DSP Mutual Fund,Debt,44,398.47639999999996,17532.9616
DSP Mutual Fund,Equity,28,27.790992857142857,778.1478
DSP Mutual Fund,Gilt,10,29.48184,294.8184
DSP Mutual Fund,Hybrid,4,218.11625,872.465
DSP Mutual Fund,Index,74,35.03653648648649,2592.7037
DSP Mutual Fund,Liquid,8,1719.1761999999999,13753.409599999999
DSP Mutual Fund,Other,166,180.71572771084337,29998.8108
Edelweiss Mutual Fund,Debt,51,145.8091862745098,7436.2685
Edelweiss Mutual Fund,Equity,20,29.672325,593.4465
Edelweiss Mutual Fund,Gilt,16,12.63718125,202.1949
Edelweiss Mutual Fund,Hybrid,12,45.1225,541.47
Edelweiss Mutual Fund,Index,58,20.602243103448277,1194.9301
Edelweiss Mutual Fund,Liquid,21,2087.3106095238095,43833.5228
Edelweiss Mutual Fund,Other,106,240.15955377358492,25456.9127
Franklin Templeton Mutual Fund,Debt,93,732.1829268817204,68093.0122
Franklin Templeton Mutual Fund,Equity,20,44.194515,883.8903
Franklin Templeton Mutual Fund,Hybrid,20,48.032765,960.6553
Franklin Templeton Mutual Fund,Index,4,202.246225,808.9849
Franklin Templeton Mutual Fund,Liquid,16,1436.90764375,22990.5223
Franklin Templeton Mutual Fund,Other,319,93.72286802507837,29897.5949
Groww Mutual Fund,Debt,49,692.1364591836735,33914.6865
Groww Mutual Fund,Equity,10,22.31878,223.1878
Groww Mutual Fund,Gilt,4,9.859175,39.4367
Groww Mutual Fund,Index,70,17.24603,1207.2221
Groww Mutual Fund,Liquid,3,1763.5859333333335,5290.7578
Groww Mutual Fund,Other,27,463.6308259259259,12518.032299999999
HDFC Mutual Fund,Debt,70,25.542501428571427,1787.9750999999999
HDFC Mutual Fund,Equity,26,31.730630769230768,824.9964
HDFC Mutual Fund,Gilt,4,34.853975,139.4159
HDFC Mutual Fund,Hybrid,4,297.43125,1189.725
HDFC Mutual Fund,Index,72,60.056025000000005,4324.0338
HDFC Mutual Fund,Liquid,12,1477.6037916666667,17731.2455
HDFC Mutual Fund,Other,372,125.79626747311828,46796.2115
HSBC Mutual Fund,Debt,27,21.175766666666668,571.7457
HSBC Mutual Fund,Equity,14,33.125485714285716,463.7568
HSBC Mutual Fund,Gilt,12,22.030116666666668,264.3614
HSBC Mutual Fund,Hybrid,20,35.312825,706.2565
HSBC Mutual Fund,Index,8,30.0803,240.6424
HSBC Mutual Fund,Liquid,12,1591.7219333333333,19100.6632
HSBC Mutual Fund,Other,192,147.9892953125,28413.9447
Helios Mutual Fund,Hybrid,4,11.7825,47.13
Helios Mutual Fund,Other,20,223.52696999999998,4470.5394
ICICI Prudential Mutual Fund,Debt,142,19.07795985915493,2709.0703
ICICI Prudential Mutual Fund,Equity,63,44.10542380952381,2778.6417
ICICI Prudential Mutual Fund,Gilt,37,22.0276,815.0212
ICICI Prudential Mutual Fund,Hybrid,16,29.99510625,479.9217
ICICI Prudential Mutual Fund,Index,143,38.56566223776223,5514.8897
ICICI Prudential Mutual Fund,Liquid,33,213.57183636363638,7047.8706
ICICI Prudential Mutual Fund,Other,2049,36.17566466569058,74123.9369
IL&FS Mutual Fund (IDF),Debt,12,1735863.13865,20830357.6638
ITI Mutual Fund,Debt,15,78.46613333333333,1176.992
ITI Mutual Fund,Hybrid,4,14.5565,58.226
ITI Mutual Fund,Liquid,11,1144.7687636363637,12592.456400000001
ITI Mutual Fund,Other,76,355.4818302631579,27016.6191
Invesco Mutual Fund,Debt,14,1890.86585,26472.1219
Invesco Mutual Fund,Equity,16,33.192437500000004,531.0790000000001
Invesco Mutual Fund,Gilt,8,1852.5159375,14820.1275
Invesco Mutual Fund,Hybrid,8,32.4625625,259.7005
Invesco Mutual Fund,Index,14,717.45575,10044.3805
Invesco Mutual Fund,Liquid,15,1799.3927133333334,26990.8907
Invesco Mutual Fund,Other,155,986.7292225806452,152943.0295
JM Financial Mutual Fund,Debt,17,30.618258823529413,520.5104
JM Financial Mutual Fund,Hybrid,20,95.18111999999999,1903.6224
JM Financial Mutual Fund,Liquid,18,37.899772222222225,682.1959
JM Financial Mutual Fund,Other,119,125.78888319327731,14968.8771
Jio BlackRock Mutual Fund,Index,5,10.29462,51.4731
Jio BlackRock Mutual Fund,Liquid,1,1019.8965,1019.8965
Jio BlackRock Mutual Fund,Other,3,682.8991000000001,2048.6973000000003
Kotak Mahindra Mutual Fund,Debt,181,213.37340930082874,38620.58708345
Kotak Mahindra Mutual Fund,Equity,22,20.21135909090909,444.6499
Kotak Mahindra Mutual Fund,Gilt,4,102.85665,411.4266
Kotak Mahindra Mutual Fund,Hybrid,8,29.29145612375,234.33164899
Kotak Mahindra Mutual Fund,Index,121,32.34755454545455,3914.0541000000003
Kotak Mahindra Mutual Fund,Liquid,3,3964.7163333333333,11894.149
Kotak Mahindra Mutual Fund,Other,529,62.975310511474476,33313.93926057
LIC Mutual Fund,Equity,6,23.8505,143.103
LIC Mutual Fund,Gilt,6,36.017833333333336,216.107
LIC Mutual Fund,Hybrid,16,48.92403125,782.7845
LIC Mutual Fund,Index,19,142.8729,2714.5851
LIC Mutual Fund,Liquid,8,2018.219625,16145.757
LIC Mutual Fund,Other,157,253.27873694267518,39764.7617
Mahindra Manulife Mutual Fund,Debt,6,12.65865,75.9519
Mahindra Manulife Mutual Fund,Equity,4,19.531750000000002,78.12700000000001
Mahindra Manulife Mutual Fund,Hybrid,8,19.786112499999998,158.28889999999998
Mahindra Manulife Mutual Fund,Liquid,8,1243.770875,9950.167
Mahindra Manulife Mutual Fund,Other,88,295.2492204545455,25981.9314
Mirae Asset Mutual Fund,Debt,20,12.659305,253.1861
Mirae Asset Mutual Fund,Equity,10,20.0139,200.139
Mirae Asset Mutual Fund,Gilt,4,12.9663,51.8652
Mirae Asset Mutual Fund,Hybrid,8,21.252625000000002,170.02100000000002
Mirae Asset Mutual Fund,Index,88,47.480725,4178.3038
Mirae Asset Mutual Fund,Liquid,10,1449.6401700000001,14496.4017
Mirae Asset Mutual Fund,Other,102,348.22320294117645,35518.7667
Motilal Oswal Mutual Fund,Hybrid,6,16.452016666666665,98.71209999999999
Motilal Oswal Mutual Fund,Index,74,44.434985135135136,3288.1889
Motilal Oswal Mutual Fund,Liquid,16,10.997425,175.9588
Motilal Oswal Mutual Fund,Other,98,20.64551530612245,2023.2605
NJ Mutual Fund,Hybrid,4,13.91,55.64
NJ Mutual Fund,Other,13,279.73984615384614,3636.618
Navi Mutual Fund,Equity,2,18.62355,37.2471
Navi Mutual Fund,Hybrid,12,22.443741666666668,269.3249
Navi Mutual Fund,Index,20,15.224465,304.4893
Navi Mutual Fund,Liquid,10,15.727219999999999,157.2722
Navi Mutual Fund,Other,28,28.87486428571429,808.4962
Nippon India Mutual Fund,Debt,41,23.108629268292685,947.4538
Nippon India Mutual Fund,Equity,62,14.263027419354838,884.3077
Nippon India Mutual Fund,Gilt,15,29.83975333333333,447.5963
Nippon India Mutual Fund,Hybrid,48,25.655093750000002,1231.4445
Nippon India Mutual Fund,Index,132,65.23639393939393,8611.204
Nippon India Mutual Fund,Liquid,22,2009.590768181818,44210.9969
Nippon India Mutual Fund,Other,1588,76.55753564231738,121573.3666
Old Bridge Mutual Fund,Other,4,12.155,48.62
Open Ended Schemes(Growth),Other,5,16.79956,83.9978
PGIM India Mutual Fund,Debt,20,625.411985,12508.2397
PGIM India Mutual Fund,Equity,33,29.311409090909088,967.2764999999999
PGIM India Mutual Fund,Gilt,11,16.09682727272727,177.0651
PGIM India Mutual Fund,Hybrid,4,14.075,56.3
PGIM India Mutual Fund,Liquid,12,132.76066666666668,1593.1280000000002
PGIM India Mutual Fund,Other,115,166.73229478260868,19174.2139
PPFAS Mutual Fund,Hybrid,4,13.264875,53.0595
PPFAS Mutual Fund,Liquid,8,1122.1911125,8977.5289
PPFAS Mutual Fund,Other,12,41.007925,492.0951
Quantum Mutual Fund,Debt,4,16.16555,64.6622
Quantum Mutual Fund,Equity,4,85.9905,343.962
Quantum Mutual Fund,Index,3,941.3221,2823.9663
Quantum Mutual Fund,Liquid,10,15.376560000000001,153.7656
Quantum Mutual Fund,Other,21,67.01353333333334,1407.2842
SBI Mutual Fund,Debt,265,211.82334339622642,56133.186
SBI Mutual Fund,Equity,18,63.73765555555556,1147.2778
SBI Mutual Fund,Gilt,8,33.8562375,270.8499
SBI Mutual Fund,Hybrid,8,32.3626625,258.9013
SBI Mutual Fund,Index,51,123.22552156862746,6284.5016000000005
SBI Mutual Fund,Liquid,5,2916.1289399999996,14580.644699999999
SBI Mutual Fund,Other,158,292.6711246835443,46242.0377
Samco Mutual Fund,Other,25,147.873864,3696.8466
Shriram Mutual Fund,Hybrid,8,24.5438,196.3504
Shriram Mutual Fund,Liquid,7,1041.5517714285713,7290.8624
Shriram Mutual Fund,Other,21,14.98552380952381,314.696
Sundaram Mutual Fund,Debt,156,186.27616666666665,29059.082
Sundaram Mutual Fund,Equity,14,57.377585714285715,803.2862
Sundaram Mutual Fund,Hybrid,2,39.0981,78.1962
Sundaram Mutual Fund,Liquid,11,1336.8345363636363,14705.1799
Sundaram Mutual Fund,Other,90,414.09631777777776,37268.6686
Tata Mutual Fund,Debt,94,46.95837765957447,4414.0875
Tata Mutual Fund,Equity,8,27.0476125,216.3809
Tata Mutual Fund,Gilt,12,29.60695,355.28340000000003
Tata Mutual Fund,Hybrid,8,173.2292625,1385.8341
Tata Mutual Fund,Index,118,18.64373220338983,2199.9604
Tata Mutual Fund,Liquid,6,2080.55955,12483.3573
Tata Mutual Fund,Other,143,296.7728412587412,42438.516299999996
Taurus Mutual Fund,Debt,16,80.980275,1295.6844
Taurus Mutual Fund,Index,2,50.319,100.638
Taurus Mutual Fund,Liquid,2,1691.2826,3382.5652
Taurus Mutual Fund,Other,19,115.49466315789473,2194.3986
The Wealth Company Mutual Fund,Liquid,8,1002.99045,8023.9236
The Wealth Company Mutual Fund,Other,12,9.986666666666666,119.84
Trust Mutual Fund,Debt,26,1170.9560846153845,30444.8582
Trust Mutual Fund,Liquid,2,1298.4227,2596.8454
Trust Mutual Fund,Other,27,695.407837037037,18776.011599999998
UTI Mutual Fund,Debt,418,11.227127990430622,4692.9395
UTI Mutual Fund,Equity,29,32.7382275862069,949.4086
UTI Mutual Fund,Gilt,17,26.040752941176468,442.6928
UTI Mutual Fund,Hybrid,17,84.38003529411765,1434.4605999999999
UTI Mutual Fund,Index,46,60.743434782608695,2794.198
UTI Mutual Fund,Liquid,21,1790.1284904761906,37592.698300000004
UTI Mutual Fund,Other,812,218.73131268472906,177609.8259
Unifi Mutual Fund,Liquid,2,1024.226,2048.452
Unifi Mutual Fund,Other,4,10.405899999999999,41.623599999999996
Union Mutual Fund,Debt,12,15.295991666666666,183.5519
Union Mutual Fund,Equity,8,13.750074999999999,110.00059999999999
Union Mutual Fund,Gilt,6,12.1659,72.9954
Union Mutual Fund,Hybrid,8,20.0425,160.34
Union Mutual Fund,Index,5,34.6329,173.1645
Union Mutual Fund,Liquid,14,1250.5564071428573,17507.7897
Union Mutual Fund,Other,93,233.08012365591398,21676.4515
WhiteOak Capital Mutual Fund,Debt,16,1004.1887,16067.0192
WhiteOak Capital Mutual Fund,Equity,4,10.921750000000001,43.687000000000005
WhiteOak Capital Mutual Fund,Hybrid,4,14.1785,56.714
WhiteOak Capital Mutual Fund,Liquid,2,1436.5037,2873.0074
WhiteOak Capital Mutual Fund,Other,36,93.22049166666667,3355.9377000000004
Zerodha Mutual Fund,Index,12,14.479208333333332,173.7505
Zerodha Mutual Fund,Liquid,1,111.2312,111.2312
Zerodha Mutual Fund,Other,2,10.56035,21.1207
quant Mutual Fund,Equity,4,10.20825,40.833
quant Mutual Fund,Gilt,4,12.023575,48.0943
quant Mutual Fund,Hybrid,4,258.90265,1035.6106
quant Mutual Fund,Liquid,12,18.742691666666666,224.9123
quant Mutual Fund,Other,102,68.94361274509804,7032.2485
